	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
II-KO-IL17-1	0.5354357037247695	0.3965447946908113	0.542943457859429	0.5285607956593844	0.47101989830229496	0.43289909078885336	0.5277788674175437	0.3959986800275749	0.4252573883533988	0.5029044940774912	0.19702036055377856	0.33525588385049887	1.2947511711026118	0.640105466774862	0.0	0.3272321836503075	0.26492896276951683	0.20106861504590945	0.41960498441717864	0.18385122547437666	0.536411518850181	0.19361756371114208	0.2239269955473417	0.7063601988478927	0.32710981891370156	0.5709862363989633	0.4577725887677041	0.6841686711160198	0.2204201206960495	0.3334345081289871	0.28560916095081035	0.5822767343426261	0.5889551397280343	0.614435654645425	0.7662610109415241	0.44293764273390895	0.9490341297756557	0.36653905911126217	0.6692300998536878	0.5643683148506253	0.6986340255822965
II-KO-IL17-2	0.6820408754479348	0.5429887660797639	0.5202971032351604	0.6751659673825497	0.3638540711907031	0.5795042625120188	0.5052057682117572	0.5648475937661028	0.5213100097226404	0.42758909888539975	0.3689219509207362	0.5679926539927738	1.4099152851178467	0.5426084979055297	0.3272321836503075	0.0	0.5363908561810826	0.1664272943867482	0.31480496345144204	0.20422625699625274	0.42811084774494745	0.4899965629156424	0.2851259184954794	0.6333595177471927	0.32798458934601116	0.7112747011856173	0.46042068897684696	0.5895075560247165	0.3542124588594987	0.27759409459988094	0.4678197319137205	0.5087961789633125	0.531310493499171	0.5539424119243442	0.7080117073331055	0.4348872339416535	0.8960056444061857	0.35065691421104994	0.6125671194339872	0.5123352740129696	0.5983381648708923
II-KO-IL17-3	0.39752465404463544	0.5352201632513824	0.7302819598223402	0.4041840076535662	0.664209730275741	0.49112033777427777	0.7096390346938672	0.5128833600706196	0.5991174627862874	0.5902058535874716	0.3637028181983036	0.1265432114902203	1.0986144544696266	0.4977462464339625	0.26492896276951683	0.5363908561810826	0.0	0.40882328279096813	0.31406854550775665	0.4137748418769758	0.372291434118385	0.17223484355150698	0.3912815725888298	0.5614614671047667	0.5199547821079221	0.33298259948299946	0.647205610977534	0.5419218197715933	0.34446165615402813	0.552983979054374	0.2273397355608843	0.4380460851462953	0.575880646499964	0.5465291536524398	0.6258096909687642	0.5976140478083849	0.8050748230551513	0.5391622582717843	0.5213553541978372	0.5785628807160583	0.556806122221247
II-KO-IL17-4	0.591696716223962	0.4536497252683455	0.5815434172328057	0.584821808158577	0.3388718543256331	0.48916010328804604	0.5637384874052621	0.4672487730656032	0.4851312599004624	0.40325486559448126	0.24775343219194124	0.4494781042213873	1.301705358103011	0.5066981483032624	0.20106861504590945	0.1664272943867482	0.40882328279096813	0.0	0.2920513337027222	0.1685327610489291	0.41509789466433	0.3661107415239149	0.2938160408525308	0.5927757646492176	0.3695325551496928	0.5986669356952885	0.510494403347752	0.5513502662581454	0.28046301904305976	0.3198808142812459	0.3629349285132344	0.45400235545399725	0.5082342180590452	0.5281501351286599	0.6824499162131811	0.3974578896546335	0.8456758549297068	0.3136214985874515	0.5934482465819222	0.4761492415479596	0.5666199028405974
II-KO-IL17-5	0.466614966104704	0.5912301153545263	0.7598734062310508	0.4730940711362619	0.4856729040367995	0.5521256480268104	0.7420060092051945	0.5746322477508529	0.6707863537311645	0.3993491754360745	0.4599151737419086	0.35120788604149245	1.188680357333414	0.2988283840333174	0.41960498441717864	0.31480496345144204	0.31406854550775665	0.2920513337027222	0.0	0.4024373823561705	0.17785938990926725	0.420898235400863	0.5476570857162517	0.3909805224682277	0.5778579873417883	0.45609372717571717	0.6846520013984779	0.34194283167920153	0.4781431637957262	0.4807127366577465	0.36278869146194337	0.2652420475391639	0.3970980246111784	0.3583538393521792	0.47593511990585197	0.43608753112947446	0.6633574321421389	0.3741866302230591	0.3829576679868698	0.39039658762412055	0.3499288576440496
II-KO-IL17-6	0.5890706058512809	0.44978038220486016	0.48208964458576137	0.582195697785896	0.4069110641735909	0.48636803929725936	0.46626622653357824	0.4386024561756509	0.4199721008331676	0.5051336563502163	0.23573834723191522	0.4323057810840263	1.356956459638317	0.6340459863003034	0.18385122547437666	0.20422625699625274	0.4137748418769758	0.1685327610489291	0.4024373823561705	0.0	0.5313611229208827	0.3664101352089112	0.24856790614033433	0.7130684422574398	0.2463933346914552	0.6467164166592689	0.38188672062545537	0.6777918135431464	0.23397573600658875	0.19689817006090393	0.3648649223646031	0.5764131771305447	0.5867647328552856	0.6069259069429123	0.768187631854045	0.41421231174694373	0.9608933230088238	0.33162465983608297	0.6768796373558228	0.5570003796331722	0.6918788971455441
II-WT-1	0.5826756561825231	0.7065680949026021	0.8735725306716753	0.5891547612140812	0.5456345092224677	0.6730762502137644	0.8587876936025717	0.716616066564553	0.7889623129898418	0.4657078808541421	0.5909300509874282	0.37271286127489794	1.1173243380018287	0.25913406374033054	0.536411518850181	0.42811084774494745	0.372291434118385	0.41509789466433	0.17785938990926725	0.5313611229208827	0.0	0.49930209629546696	0.633383212861425	0.2904540179699526	0.7259596120041577	0.39256962531116285	0.8304425029366796	0.24918981373898896	0.5684808918042064	0.6409263411362185	0.4587816979794262	0.276213853720939	0.490054189726849	0.4581373886536247	0.38295713747277804	0.5831997397968567	0.5719596719104255	0.5239772542283868	0.2884681252520791	0.5053123593337002	0.25817026497794704
II-WT-2	0.4623146327358095	0.44708475186627916	0.6423673692762599	0.45493228467745267	0.5947218761652313	0.4040218518813548	0.6218792709666998	0.3907918090456389	0.49908589059695796	0.523488121236062	0.26649320114655445	0.23119017483347232	1.2316952988706185	0.6241112806875966	0.19361756371114208	0.4899965629156424	0.17223484355150698	0.3661107415239149	0.420898235400863	0.3664101352089112	0.49930209629546696	0.0	0.31826858164956817	0.6843557304927828	0.43026938693979166	0.4622048035198277	0.5460687655518903	0.6680705835934964	0.26249641887762526	0.4790100030222874	0.15347032998275806	0.5623909138439769	0.5741662580189653	0.6043296253789163	0.7438964961628902	0.5244498780752729	0.9440500455830436	0.47354911596125504	0.6386661042153781	0.552992146148169	0.6822725149656046
II-WT-3	0.6441589534158716	0.4954116712211737	0.4863958058255726	0.6367766053575148	0.5045323745885382	0.5348256150889728	0.4663960680643795	0.5189646428882702	0.43996787216671324	0.5956822839327974	0.2833803323651896	0.4559565105522323	1.3517724763974814	0.736006674980183	0.2239269955473417	0.2851259184954794	0.3912815725888298	0.2938160408525308	0.5476570857162517	0.24856790614033433	0.633383212861425	0.31826858164956817	0.0	0.7968857337373849	0.28523875653770203	0.6564581665873253	0.42417188871003775	0.7811296885410823	0.27700421696630095	0.33037756207233987	0.3845307599243774	0.6748410610745563	0.6937452883052428	0.7196397400937111	0.847192907855828	0.5865154855543548	1.0441727711354418	0.5223400322463343	0.7589887590806289	0.6840503160911691	0.796114891020346
II-WT-BAC	0.7095860451536893	0.8330531959505802	0.9994538186250219	0.7162479854095005	0.502355388927203	0.8017393991118267	0.9862516239435992	0.8466129318623637	0.9142396313755864	0.4572994118955876	0.7673741945067878	0.5508869454381065	1.1410590091622896	0.16658641102184318	0.7063601988478927	0.6333595177471927	0.5614614671047667	0.5927757646492176	0.3909805224682277	0.7130684422574398	0.2904540179699526	0.6843557304927828	0.7968857337373849	0.0	0.8869569065194592	0.4812027299257555	0.9620897672943727	0.14432756109809317	0.7744826390181883	0.8172675955032993	0.6646830984452846	0.16771543627645724	0.5369384832115618	0.5018098576654655	0.3449512739820089	0.673478139007853	0.4027467162840309	0.6136853101313291	0.35604299271739914	0.5504759336250854	0.1825269215527251
IIIA-KO-1	0.5193345275789506	0.3714388066199166	0.35120396168286994	0.5119521795205938	0.5933601148384555	0.40969375474142855	0.3148954804347082	0.31731910259713514	0.3772912796678806	0.6236624628574841	0.24211983320058483	0.49670138967910615	1.334116999195838	0.7986961018382739	0.32710981891370156	0.32798458934601116	0.5199547821079221	0.3695325551496928	0.5778579873417883	0.2463933346914552	0.7259596120041577	0.43026938693979166	0.28523875653770203	0.8869569065194592	0.0	0.73572621187362	0.15701415166441576	0.844834563017595	0.21139948583161458	0.15844623187276424	0.40142829387567075	0.7639843973131129	0.712663355406081	0.7238899650580208	0.9206859659160387	0.47443325005050885	1.1438019846330705	0.42681873456456687	0.800501975069286	0.6806374554184422	0.84512757501898
IIIA-KO-2	0.605030087412417	0.7371519881920358	0.9316620853856856	0.6116894410213477	0.8391205938061436	0.6940777791410425	0.912558566842626	0.7135950675383654	0.815700139914538	0.7541386940769245	0.5824972843462124	0.3471890614630361	0.9051033229594544	0.5797266196234504	0.5709862363989633	0.7112747011856173	0.33298259948299946	0.5986669356952885	0.45609372717571717	0.6467164166592689	0.39256962531116285	0.4622048035198277	0.6564581665873253	0.4812027299257555	0.73572621187362	0.0	0.8496375760683771	0.5598936069434297	0.5578408637482604	0.7292998374649948	0.38801702998191157	0.5844078160788835	0.7300755157887846	0.6946359374464828	0.4003242975651983	0.7685449036691172	0.6174666525546245	0.7207714290827901	0.5427018782085627	0.73606379442678	0.582382409192677
IIIA-KO-3	0.517866075462429	0.36232481547968776	0.27511371949617597	0.509556066571053	0.663296563375443	0.4031393902230628	0.20888894081726359	0.31794392960683937	0.4131560283541724	0.7183754904178465	0.3941456767160337	0.6366699392632695	1.4404713599548864	0.8783301207724947	0.4577725887677041	0.46042068897684696	0.647205610977534	0.510494403347752	0.6846520013984779	0.38188672062545537	0.8304425029366796	0.5460687655518903	0.42417188871003775	0.9620897672943727	0.15701415166441576	0.8496375760683771	0.0	0.9146319575643111	0.3246971013250839	0.21432966847151222	0.5022928638568259	0.8430026917378451	0.7672228422991978	0.7882737628982743	1.0008723888233193	0.5311677632069878	1.250173650987605	0.4917852764062098	0.8764584534770156	0.7338086944771615	0.9096934468953595
IIIA-KO-BAC	0.6623471292281091	0.7862004299037699	0.955887819764468	0.6690090694839204	0.4047421632124384	0.7545004831862465	0.9390127080180188	0.7993740159367835	0.8707386156486876	0.38448445391154595	0.7185921669275264	0.5314044892528575	1.2186810090805649	0.07113363202326424	0.6841686711160198	0.5895075560247165	0.5419218197715933	0.5513502662581454	0.34194283167920153	0.6777918135431464	0.24918981373898896	0.6680705835934964	0.7811296885410823	0.14432756109809317	0.844834563017595	0.5598936069434297	0.9146319575643111	0.0	0.7396577044177576	0.777479828682549	0.6269870987570709	0.13050333127108002	0.4655340829169282	0.4289445665014937	0.4085497209190657	0.6343325597636915	0.49346127641851034	0.5651007895645996	0.3089240426768618	0.47396332142920844	0.0782250791493674
IIIA-WT-1	0.47613572899573586	0.3274185108946057	0.4501186876753668	0.46875338093737906	0.5019239830528373	0.3664949561582138	0.4263372511271225	0.308264796432323	0.34844113422840933	0.5292577609476303	0.17101618720622663	0.3699890721820914	1.29101418566098	0.6940123346862264	0.2204201206960495	0.3542124588594987	0.34446165615402813	0.28046301904305976	0.4781431637957262	0.23397573600658875	0.5684808918042064	0.26249641887762526	0.27700421696630095	0.7744826390181883	0.21139948583161458	0.5578408637482604	0.3246971013250839	0.7396577044177576	0.0	0.24613884639989206	0.19704048450296024	0.654047446069006	0.6163882941216707	0.6308022116853931	0.7974759916246255	0.4167060009240901	1.0521395679652563	0.3416539132896316	0.6703853187719857	0.5906939002687515	0.742854554997337
IIIA-WT-2	0.5785037512583182	0.4378904737962329	0.36270076596661927	0.5711214031999614	0.523803457622939	0.473429938357543	0.3379647057561932	0.4105362191391247	0.43620739226205346	0.578487953396564	0.3324274343998025	0.5677489766302497	1.431842893396236	0.733726484671049	0.3334345081289871	0.27759409459988094	0.552983979054374	0.3198808142812459	0.4807127366577465	0.19689817006090393	0.6409263411362185	0.4790100030222874	0.33037756207233987	0.8172675955032993	0.15844623187276424	0.7292998374649948	0.21432966847151222	0.777479828682549	0.24613884639989206	0.0	0.4120054539963846	0.6957568115848017	0.658300539902917	0.6670803695995786	0.8555581903122722	0.45217784875103384	1.0935885163147663	0.3737736718477934	0.7412129979613122	0.6256577601661011	0.77832759365993
IIIA-WT-3	0.39414913818302677	0.39983913504707824	0.595041102600802	0.3867667901246699	0.5989769427835759	0.3563791971520781	0.5748978940716675	0.36739066839375184	0.49200654979880537	0.4958678364366893	0.26730442519642555	0.27285786407067236	1.2063107924686913	0.586803519409184	0.28560916095081035	0.4678197319137205	0.2273397355608843	0.3629349285132344	0.36278869146194337	0.3648649223646031	0.4587816979794262	0.15347032998275806	0.3845307599243774	0.6646830984452846	0.40142829387567075	0.38801702998191157	0.5022928638568259	0.6269870987570709	0.19704048450296024	0.4120054539963846	0.0	0.5421152578981527	0.5228394888777534	0.5451684435260383	0.6894050058782495	0.47975392636488257	0.9507544662701547	0.42663556836108685	0.5801065889451968	0.49848789851540953	0.6376450444848791
