	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
II-KO-1	1.0	1.0	0.9991610738255033	1.0	0.8590604026845637	1.0	1.0	0.5989932885906041	0.9723154362416108	0.8523489932885906	0.0	0.40436241610738255	0.3238255033557047	0.863255033557047	0.7835570469798657	0.7936241610738255	0.7944630872483222	0.6711409395973155	0.8045302013422819	0.7600671140939598	0.8682885906040269	0.5771812080536913	0.62751677852349	0.8968120805369127	0.572986577181208	0.8003355704697986	0.8733221476510067	0.8993288590604027	0.8968120805369127	0.8313758389261745	0.8926174496644296	0.8766778523489933	0.8942953020134228	0.9035234899328859	0.822986577181208	0.8565436241610739	0.7609060402684564	0.8414429530201343	0.8993288590604027	0.9194630872483222	0.9001677852348994
II-KO-2	1.0	1.0	0.99748322147651	1.0	0.8833892617449665	1.0	1.0	0.6703020134228188	0.9723154362416108	0.8708053691275168	0.40436241610738255	0.0	0.5746644295302014	0.8288590604026845	0.7718120805369127	0.7776845637583892	0.6921140939597316	0.75251677852349	0.8154362416107382	0.8498322147651006	0.7634228187919463	0.3028523489932886	0.6090604026845637	0.8196308724832215	0.6929530201342282	0.8380872483221476	0.875	0.8598993288590604	0.8447986577181208	0.9437919463087249	0.8691275167785235	0.8053691275167785	0.9018456375838926	0.9035234899328859	0.875	0.8942953020134228	0.7986577181208053	0.863255033557047	0.8901006711409396	0.9278523489932886	0.8934563758389261
II-KO-3	1.0	1.0	0.9991610738255033	1.0	0.8917785234899329	1.0	1.0	0.7273489932885906	0.9765100671140939	0.875	0.3238255033557047	0.5746644295302014	0.0	0.8959731543624161	0.790268456375839	0.8431208053691275	0.8070469798657718	0.7374161073825504	0.825503355704698	0.8003355704697986	0.9052013422818792	0.7273489932885906	0.7466442953020134	0.9211409395973155	0.6610738255033557	0.8364093959731543	0.8984899328859061	0.9161073825503355	0.9521812080536913	0.8993288590604027	0.9614093959731543	0.9169463087248322	0.9093959731543624	0.9228187919463087	0.9068791946308725	0.8657718120805369	0.7810402684563759	0.8565436241610739	0.924496644295302	0.9362416107382551	0.9110738255033557
II-KO-BAC	1.0	1.0	0.9991610738255033	1.0	0.5218120805369127	1.0	1.0	1.0	1.0	0.6761744966442953	0.863255033557047	0.8288590604026845	0.8959731543624161	0.0	0.9354026845637584	0.8959731543624161	0.9261744966442953	0.7659395973154363	0.8582214765100671	0.9328859060402684	0.9077181208053692	0.8171140939597316	0.7961409395973155	0.4446308724832215	0.9286912751677853	0.9001677852348994	1.0	0.3053691275167785	0.8817114093959731	0.9194630872483222	0.8766778523489933	0.40939597315436244	0.924496644295302	0.9253355704697986	0.8875838926174496	0.9295302013422819	0.4488255033557047	0.8976510067114094	0.9001677852348994	0.9471476510067114	0.4488255033557047
II-KO-IL17-1	1.0	1.0	0.99748322147651	1.0	0.9354026845637584	0.9681208053691275	0.9991610738255033	1.0	0.9966442953020134	0.9496644295302014	0.7835570469798657	0.7718120805369127	0.790268456375839	0.9354026845637584	0.0	0.46560402684563756	0.23909395973154363	0.4899328859060403	0.5528523489932886	0.26174496644295303	0.665268456375839	0.790268456375839	0.8070469798657718	0.9555369127516778	0.6082214765100671	0.6426174496644296	0.7248322147651006	0.9412751677852349	0.665268456375839	0.5687919463087249	0.7156040268456376	0.9538590604026845	0.8766778523489933	0.8657718120805369	0.9496644295302014	0.7248322147651006	0.8909395973154363	0.6736577181208053	0.9404362416107382	0.8271812080536913	0.9614093959731543
II-KO-IL17-2	1.0	1.0	0.99748322147651	1.0	0.9370805369127517	0.9681208053691275	0.9991610738255033	1.0	0.9966442953020134	0.9203020134228188	0.7936241610738255	0.7776845637583892	0.8431208053691275	0.8959731543624161	0.46560402684563756	0.0	0.5285234899328859	0.3766778523489933	0.3498322147651007	0.41023489932885904	0.4983221476510067	0.8087248322147651	0.714765100671141	0.9010067114093959	0.7399328859060402	0.6552013422818792	0.8699664429530202	0.9211409395973155	0.6879194630872483	0.6417785234899329	0.738255033557047	0.8926174496644296	0.8884228187919463	0.8758389261744967	0.9110738255033557	0.8573825503355704	0.87248322147651	0.8120805369127517	0.9203020134228188	0.863255033557047	0.9555369127516778
II-KO-IL17-3	1.0	1.0	0.99748322147651	1.0	0.9001677852348994	0.9681208053691275	0.9991610738255033	1.0	0.9966442953020134	0.9496644295302014	0.7944630872483222	0.6921140939597316	0.8070469798657718	0.9261744966442953	0.23909395973154363	0.5285234899328859	0.0	0.514261744966443	0.6258389261744967	0.3850671140939597	0.6644295302013423	0.5813758389261745	0.7768456375838926	0.9161073825503355	0.6560402684563759	0.6661073825503355	0.7709731543624161	0.9228187919463087	0.6719798657718121	0.6493288590604027	0.709731543624161	0.924496644295302	0.8766778523489933	0.8682885906040269	0.9471476510067114	0.7709731543624161	0.8624161073825504	0.7172818791946308	0.9412751677852349	0.8296979865771812	0.9488255033557047
II-KO-IL17-4	1.0	1.0	0.9991610738255033	1.0	0.7592281879194631	0.9681208053691275	0.9991610738255033	1.0	0.9966442953020134	0.8875838926174496	0.6711409395973155	0.75251677852349	0.7374161073825504	0.7659395973154363	0.4899328859060403	0.3766778523489933	0.514261744966443	0.0	0.3850671140939597	0.3926174496644295	0.5931208053691275	0.74748322147651	0.6208053691275168	0.7432885906040269	0.6736577181208053	0.6333892617449665	0.8154362416107382	0.7600671140939598	0.6266778523489933	0.5201342281879194	0.6174496644295302	0.7348993288590604	0.8179530201342282	0.7961409395973155	0.8330536912751678	0.7651006711409396	0.7021812080536913	0.7021812080536913	0.8540268456375839	0.7835570469798657	0.799496644295302
II-KO-IL17-5	1.0	1.0	0.9991610738255033	1.0	0.8548657718120806	0.9681208053691275	0.9991610738255033	1.0	0.9966442953020134	0.8909395973154363	0.8045302013422819	0.8154362416107382	0.825503355704698	0.8582214765100671	0.5528523489932886	0.3498322147651007	0.6258389261744967	0.3850671140939597	0.0	0.4815436241610738	0.48573825503355705	0.8280201342281879	0.7583892617449665	0.886744966442953	0.636744966442953	0.5973154362416108	0.7911073825503355	0.8649328859060402	0.7231543624161074	0.5436241610738255	0.712248322147651	0.8766778523489933	0.8179530201342282	0.7709731543624161	0.8649328859060402	0.7508389261744967	0.8246644295302014	0.6996644295302014	0.8523489932885906	0.787751677852349	0.8901006711409396
II-KO-IL17-6	1.0	1.0	0.9991610738255033	1.0	0.9286912751677853	0.9681208053691275	0.9991610738255033	1.0	0.9966442953020134	0.947986577181208	0.7600671140939598	0.8498322147651006	0.8003355704697986	0.9328859060402684	0.26174496644295303	0.41023489932885904	0.3850671140939597	0.3926174496644295	0.4815436241610738	0.0	0.6568791946308725	0.9010067114093959	0.8053691275167785	0.9546979865771812	0.5201342281879194	0.6291946308724832	0.6459731543624161	0.9412751677852349	0.5662751677852349	0.4312080536912752	0.6535234899328859	0.9530201342281879	0.87248322147651	0.8582214765100671	0.9010067114093959	0.6644295302013423	0.8875838926174496	0.5956375838926175	0.9228187919463087	0.8221476510067114	0.9588926174496645
