	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
II-WT-3	1.0	1.0	0.9726027397260274	1.0	0.8425925925925926	1.0	1.0	0.9555555555555556	0.9696969696969697	0.8492063492063492	0.5882352941176471	0.5833333333333334	0.5833333333333334	0.8433734939759037	0.7142857142857143	0.5967741935483871	0.7096774193548387	0.5517241379310345	0.6779661016949152	0.7611940298507462	0.6190476190476191	0.5357142857142857	0.0	0.8677685950413223	0.5686274509803921	0.6753246753246753	0.8958333333333334	0.8362068965517241	0.6415094339622641	0.6666666666666666	0.7794117647058824	0.8559322033898306	0.8875	0.9135802469135802	0.92	0.7619047619047619	0.7524752475247525	0.88	0.8787878787878788	0.8846153846153846	0.8317757009345794
II-WT-BAC	1.0	1.0	0.992	1.0	0.6141732283464567	0.9901960784313726	1.0	1.0	1.0	0.6197183098591549	0.911504424778761	0.8981481481481481	0.9469026548672567	0.6636363636363637	0.944	0.896	0.9435483870967742	0.8260869565217391	0.8782608695652174	0.928	0.8688524590163934	0.8916666666666667	0.8677685950413223	0.0	0.9310344827586207	0.849624060150376	1.0	0.4878048780487805	0.8918918918918919	0.9396551724137931	0.8739495798319328	0.3684210526315789	0.9705882352941176	0.9703703703703703	0.9539473684210527	0.9512195121951219	0.5371900826446281	0.9453125	0.912751677852349	0.9701492537313433	0.5691056910569106
IIIA-KO-1	1.0	1.0	0.9836065573770492	1.0	0.8686868686868687	0.8857142857142857	0.9705882352941176	0.9375	0.9423076923076923	0.8521739130434782	0.5609756097560976	0.6585365853658537	0.5526315789473685	0.8783783783783784	0.7169811320754716	0.7017543859649122	0.7115384615384616	0.660377358490566	0.6170212765957447	0.7272727272727273	0.7868852459016393	0.6470588235294118	0.5686274509803921	0.9310344827586207	0.0	0.609375	0.6666666666666666	0.9107142857142857	0.6888888888888889	0.525	0.7931034482758621	0.9203539823008849	0.8307692307692308	0.8095238095238095	0.8823529411764706	0.5555555555555556	0.8105263157894737	0.7758620689655172	0.8470588235294118	0.8064516129032258	0.912621359223301
IIIA-KO-2	1.0	1.0	0.9888888888888889	1.0	0.8442622950819673	0.9206349206349206	0.9841269841269841	0.9672131147540983	0.9629629629629629	0.8819444444444444	0.7945205479452054	0.782608695652174	0.782608695652174	0.88	0.6891891891891891	0.6794871794871795	0.684931506849315	0.6666666666666666	0.6944444444444444	0.6621621621621622	0.7125	0.775	0.6753246753246753	0.849624060150376	0.609375	0.0	0.8305084745762712	0.8473282442748091	0.7428571428571429	0.6865671641791045	0.68	0.8473282442748091	0.8586956521739131	0.8571428571428571	0.8828828828828829	0.7948717948717948	0.8166666666666667	0.8372093023255814	0.8240740740740741	0.8924731182795699	0.8629032258064516
IIIA-KO-3	1.0	1.0	1.0	1.0	0.9662921348314607	0.7333333333333333	0.9285714285714286	0.8333333333333334	0.90625	0.9724770642201835	0.8529411764705882	0.8709677419354839	0.8333333333333334	1.0	0.8292682926829268	0.851063829787234	0.825	0.8409090909090909	0.8157894736842105	0.8372093023255814	0.92	0.8863636363636364	0.8958333333333334	1.0	0.6666666666666666	0.8305084745762712	0.0	1.0	0.8529411764705882	0.8181818181818182	0.8636363636363636	0.9900990099009901	0.8571428571428571	0.8541666666666666	0.9285714285714286	0.7837837837837838	0.9891304347826086	0.7857142857142857	0.9166666666666666	0.851063829787234	0.989010989010989
IIIA-KO-BAC	1.0	1.0	0.991869918699187	1.0	0.5967741935483871	0.99	1.0	1.0	1.0	0.6142857142857143	0.9196428571428571	0.8857142857142857	0.9363636363636364	0.5784313725490197	0.9256198347107438	0.8852459016393442	0.9159663865546218	0.8125	0.8660714285714286	0.9180327868852459	0.847457627118644	0.8991596638655462	0.8362068965517241	0.4878048780487805	0.9107142857142857	0.8473282442748091	1.0	0.0	0.9	0.9196428571428571	0.9	0.5161290322580645	0.9701492537313433	0.9699248120300752	0.9533333333333334	0.9416666666666667	0.5537190082644629	0.9444444444444444	0.9115646258503401	0.9538461538461539	0.55
IIIA-WT-1	1.0	1.0	0.9661016949152542	1.0	0.8787878787878788	0.8823529411764706	0.9696969696969697	1.0	0.9811320754716981	0.8803418803418803	0.7916666666666666	0.65	0.8260869565217391	0.8767123287671232	0.7115384615384616	0.6226415094339622	0.7307692307692307	0.5714285714285714	0.72	0.7678571428571429	0.8032786885245902	0.64	0.6415094339622641	0.8918918918918919	0.6888888888888889	0.7428571428571429	0.8529411764705882	0.9	0.0	0.6818181818181818	0.5625	0.8899082568807339	0.7903225806451613	0.8064516129032258	0.825	0.7692307692307693	0.88	0.7931034482758621	0.8024691358024691	0.8225806451612904	0.89
IIIA-WT-2	1.0	1.0	0.9833333333333333	1.0	0.8556701030927835	0.8823529411764706	0.9696969696969697	1.0	0.9811320754716981	0.8803418803418803	0.7111111111111111	0.8260869565217391	0.7441860465116279	0.9066666666666666	0.6326530612244898	0.6727272727272727	0.625	0.6538461538461539	0.6382978723404256	0.5918367346938775	0.8032786885245902	0.7407407407407407	0.6666666666666666	0.9396551724137931	0.525	0.6865671641791045	0.8181818181818182	0.9196428571428571	0.6818181818181818	0.0	0.7894736842105263	0.9385964912280702	0.8461538461538461	0.8615384615384616	0.8809523809523809	0.72	0.845360824742268	0.8524590163934426	0.8850574712643678	0.8225806451612904	0.9326923076923077
IIIA-WT-3	1.0	1.0	0.9859154929577465	1.0	0.8598130841121495	0.9111111111111111	0.9772727272727273	1.0	0.984375	0.9076923076923077	0.85	0.7735849056603774	0.8983050847457628	0.8928571428571429	0.835820895522388	0.746268656716418	0.8507462686567164	0.6721311475409836	0.7903225806451613	0.8059701492537313	0.8493150684931506	0.765625	0.7794117647058824	0.8739495798319328	0.7931034482758621	0.68	0.8636363636363636	0.9	0.5625	0.7894736842105263	0.0	0.8813559322033898	0.8533333333333334	0.8666666666666667	0.8709677419354839	0.8461538461538461	0.8818181818181818	0.8591549295774648	0.8131868131868132	0.8648648648648649	0.8807339449541285
IIIA-WT-BAC	1.0	1.0	0.991869918699187	1.0	0.608	0.99	1.0	1.0	1.0	0.6142857142857143	0.9099099099099099	0.875	0.9459459459459459	0.6190476190476191	0.943089430894309	0.8943089430894309	0.9426229508196722	0.8230088495575221	0.8761061946902655	0.926829268292683	0.8666666666666667	0.8898305084745762	0.8559322033898306	0.3684210526315789	0.9203539823008849	0.8473282442748091	0.9900990099009901	0.5161290322580645	0.8899082568807339	0.9385964912280702	0.8813559322033898	0.0	0.9624060150375939	0.9621212121212122	0.9391891891891891	0.9504132231404959	0.5537190082644629	0.936	0.9041095890410958	0.9538461538461539	0.608
